g,FSV,pval,qval
A930003O13Rik,0.99995455,6.87E-06,0.0001125
Calr3,0.99995455,6.87E-06,0.0001125
2410021H03Rik,0.99995455,6.87E-06,0.0001125
Ints7,0.99995455,6.92E-06,0.000113307
Scel,0.967122688,7.17E-06,0.000117301
Cdrt4,0.99995455,7.24E-06,0.000118223
Slc2a4,0.99995455,7.37E-06,0.00012025
Nipal4,0.99995455,7.38E-06,0.000120259
Ldhal6b,0.99995455,7.59E-06,0.00012358
AI661453,0.99995455,7.75E-06,0.000126073
Htra4,0.99995455,7.84E-06,0.000127436
Cmah,0.99995455,7.89E-06,0.000128173
9530026P05Rik,0.99995455,7.98E-06,0.000128846
Dqx1,0.99995455,7.98E-06,0.000128846
Tcp10b,0.99995455,7.98E-06,0.000128846
1700001C02Rik,0.99995455,7.98E-06,0.000128846
Mir300,0.99995455,7.98E-06,0.000128846
Gabrr1,0.99995455,7.98E-06,0.000128846
Ccr1,0.99995455,8.14E-06,0.000131278
Mrap,0.99995455,8.17E-06,0.000131511
1700034G24Rik,0.99995455,8.19E-06,0.000131775
Cyp2u1,0.99995455,8.26E-06,0.000132837
Fut7,0.968210832,8.41E-06,0.00013492
Xlr3a,0.99995455,8.43E-06,0.00013492
Angptl3,0.99995455,8.43E-06,0.00013492
Arhgef37,0.789002591,8.43E-06,0.00013492
Tex14,0.99995455,8.52E-06,0.000136347
Ifltd1,0.99995455,8.62E-06,0.000137816
Tas1r3,0.99995455,8.91E-06,0.000142278
4931430N09Rik,0.99995455,8.93E-06,0.000142383
Rarres2,0.99995455,9.02E-06,0.000143665
Fam57a,0.99995455,9.18E-06,0.000145907
Siglech,0.99995455,9.18E-06,0.000145907
Dlx3,0.99995455,9.18E-06,0.000145907
S1pr4,0.99995455,9.31E-06,0.000147728
G630093K05Rik,0.99995455,9.46E-06,0.000149888
H2afy3,0.99995455,9.46E-06,0.000149888
5031410I06Rik,0.99995455,9.67E-06,0.000152917
A930006K02Rik,0.99995455,9.67E-06,0.000152917
Pms1,0.99995455,9.73E-06,0.000153546
Gdnf,0.99995455,9.73E-06,0.000153546
Pou5f1,0.99995455,1.00E-05,0.000154954
Rpl26,0.99995455,1.00E-05,0.000154954
Ticrr,0.99995455,1.00E-05,0.000154954
Tgm1,0.99995455,1.00E-05,0.000154954
Pappa2,0.99995455,1.00E-05,0.000154954
Ldoc1,0.99995455,9.98E-06,0.000154954
Kif24,0.99995455,1.00E-05,0.000154954
Timd2,0.99995455,1.00E-05,0.000154954
Snora7a,0.99995455,1.00E-05,0.000154954
Lzts1,0.99995455,1.00E-05,0.000154954
Crygs,0.99995455,1.00E-05,0.000154954
Mc4r,0.99995455,1.00E-05,0.000154954
Klkb1,0.99995455,1.00E-05,0.000154954
Casr,0.99995455,1.00E-05,0.000154954
Srrd,0.99995455,1.00E-05,0.000154954
Papln,0.99995455,1.00E-05,0.000154954
Prrg4,0.99995455,9.86E-06,0.000154954
Gm11570,0.99995455,1.00E-05,0.000154954
Scube3,0.99995455,1.00E-05,0.000154954
Arntl2,0.99995455,1.00E-05,0.000154954
Prss41,0.99995455,1.00E-05,0.000154954
Mmp12,0.99995455,1.00E-05,0.000154954
BC028528,0.99995455,1.01E-05,0.00015631
3010001F23Rik,0.99995455,1.02E-05,0.000156508
Fbp1,0.99995455,1.02E-05,0.000156701
Map3k7cl,0.99995455,1.02E-05,0.000157546
Lypd6b,0.99995455,1.04E-05,0.000159433
Csl,0.99995455,1.06E-05,0.00016216
Lrrc47,0.99995455,1.08E-05,0.000166439
Glt1d1,0.99995455,1.10E-05,0.000167921
Nos1,0.83003035,1.10E-05,0.00016851
2610027K06Rik,0.99995455,1.11E-05,0.000169678
Tubb2a-ps2,0.99995455,1.12E-05,0.000170957
Cd14,0.890673707,1.12E-05,0.000171271
Gm14023,0.99995455,1.14E-05,0.000172214
A730043L09Rik,0.99995455,1.14E-05,0.000172214
Rag2,0.99995455,1.14E-05,0.000172214
Mir130a,0.99995455,1.14E-05,0.000172214
4933425B07Rik,0.99995455,1.14E-05,0.000172214
Ces1c,0.99995455,1.14E-05,0.000172214
Oas2,0.99995455,1.14E-05,0.000172214
Rdh9,0.99995455,1.14E-05,0.000172214
Ccdc36,0.99995455,1.14E-05,0.000172214
Spem1,0.99995455,1.16E-05,0.000175476
Plau,0.99995455,1.17E-05,0.000176159
Fam160a1,0.99995455,1.17E-05,0.000176161
Col19a1,0.99995455,1.19E-05,0.000178873
Pcdhga6,0.99995455,1.19E-05,0.000178873
Il17b,0.99995455,1.19E-05,0.000179917
Hsd17b2,0.99995455,1.21E-05,0.000181617
Pon1,0.99995455,1.22E-05,0.000184046
Ahrr,0.99995455,1.24E-05,0.000186357
Supt20,0.99995455,1.24E-05,0.000186554
Spon2,0.99995455,1.30E-05,0.000195506
Slc14a2,0.99995455,1.33E-05,0.000198823
Lrguk,0.99995455,1.39E-05,0.000208261
Ube2u,0.99995455,1.42E-05,0.000212397
F420014N23Rik,0.99995455,1.43E-05,0.000213446
Hcst,0.99995455,1.43E-05,0.000213446
Birc5,0.99995455,1.44E-05,0.000214143
6030407O03Rik,0.99995455,1.44E-05,0.000214143
Rhbg,0.99995455,1.44E-05,0.000214515
3632454L22Rik,0.99995455,1.46E-05,0.000216837
1110020A21Rik,0.678952486,1.46E-05,0.000216837
Morc2b,0.99995455,1.47E-05,0.000218721
Irak3,0.99995455,1.50E-05,0.000222115
Clcn6,0.99995455,1.52E-05,0.000225597
4933407K13Rik,0.99995455,1.53E-05,0.000226167
Fam198b,0.99995455,1.53E-05,0.000226862
C2cd4b,0.99995455,1.54E-05,0.000226877
Neurog1,0.99995455,1.56E-05,0.00022976
Neil3,0.99995455,1.56E-05,0.000230162
Pabpc2,0.99995455,1.57E-05,0.000230802
1700109H08Rik,0.99995455,1.57E-05,0.000231195
Mir690,0.99995455,1.57E-05,0.000231195
Epn3,0.99995455,1.58E-05,0.000231423
Spn,0.99995455,1.58E-05,0.000231423
Gm21119,0.99995455,1.58E-05,0.000231702
Gabrg3,0.99995455,1.70E-05,0.00024918
Tnfrsf1b,0.99995455,1.73E-05,0.000252652
Tectb,0.99995455,1.73E-05,0.000252944
Gm711,0.99995455,1.73E-05,0.000253118
Aqp3,0.99995455,1.77E-05,0.000258149
Slc17a8,0.99995455,1.82E-05,0.000264968
Sv2c,0.99995455,1.84E-05,0.000268087
Nhs,0.826532623,1.87E-05,0.000272058
Tnfrsf4,0.99995455,1.93E-05,0.000280211
Rin3,0.99995455,1.97E-05,0.000285647
Gm15319,0.99995455,1.98E-05,0.000286963
Ppp3r2,0.80184718,1.98E-05,0.000287197
Ripk4,0.99995455,2.00E-05,0.000290511
A630001G21Rik,0.99995455,2.05E-05,0.000296525
Gbp4,0.99995455,2.06E-05,0.000298568
4930515L03Rik,0.99995455,2.10E-05,0.000303864
Kcnk4,0.99995455,2.11E-05,0.000305354
Zfp185,0.99995455,2.12E-05,0.000305354
Arhgef39,0.99995455,2.15E-05,0.00030928
Gm6498,0.99995455,2.15E-05,0.00030941
Gm20597,0.567617984,2.18E-05,0.000313963
9330188P03Rik,0.99995455,2.19E-05,0.000315604
Bcl2a1d,0.99995455,2.20E-05,0.000315771
Gm15910,0.564727039,2.23E-05,0.000319572
Hyls1,0.99995455,2.23E-05,0.000319687
Slitrk6,0.99995455,2.25E-05,0.000322991
Mamstr,0.99995455,2.27E-05,0.000325158
Zkscan14,0.99995455,2.44E-05,0.000348279
4833412C05Rik,0.99995455,2.45E-05,0.000349548
Eps8l1,0.99995455,2.48E-05,0.000354508
Cysltr2,0.99995455,2.57E-05,0.000366285
Cnfn,0.99995455,2.63E-05,0.000374439
2010015L04Rik,0.813910696,2.70E-05,0.000384972
AI182371,0.99995455,2.74E-05,0.000388587
Cd101,0.99995455,2.74E-05,0.000388587
Rgn,0.99995455,2.74E-05,0.000388587
Eqtn,0.99995455,2.79E-05,0.000396245
Tacstd2,0.99995455,2.82E-05,0.000398272
Ildr1,0.99995455,2.82E-05,0.000398272
Cntnap5a,0.99995455,2.82E-05,0.000398272
Fxyd3,0.99995455,2.82E-05,0.000398272
Alkbh8,0.99995455,2.84E-05,0.000400799
Gm11346,0.99995455,2.88E-05,0.000406249
